n,key,url,classifier,category,spec_areas,confidence,rationale,summary,description,project,issuetype,components,labels,links,haiku_category,haiku_confidence
36,JAVA-5130,https://jira.mongodb.org/browse/JAVA-5130,human,not_relevant,,high,"Test infrastructure for Atlas cluster setup, not spec-related.","Atlas cluster setup script should create a unique cluster per-invocation, not per commit","This ticket was split from {{DRIVERS-2710}}, please see that ticket for a detailed description. ",JAVA,Improvement,,,Issue split:DRIVERS-2710,not_relevant,high
37,RUBY-2609,https://jira.mongodb.org/browse/RUBY-2609,human,not_relevant,cmap,high,Links to DRIVERS-1692; TCP_USER_TIMEOUT connection pool spec requirement.,Enable TCP_USER_TIMEOUT by default when possible,"
{html}
    <div id=""script-target-wrapper"">
        <br>
        <b>DRIVERS Ticket Description</b>
        <div id=""lang-script-target"">
            <!-- This block of HTML and the script in it auto-populate the DRIVERS ticket description on page load. -->
            Script Target - If you can read this text, the script has failed
            <script>
                $.get('https://jira.mongodb.org/browse/DRIVERS-1692', function(data) {
                    var description = $(data).find(""#description-val"");
                    $(""#lang-script-target"").html(description);
                });
            </script>
        </div>
    </div>
{html}
",RUBY,Improvement,Spec Comp,,Issue split:DRIVERS-1692,avoidable_by_spec_conformance,high
38,CDRIVER-901,https://jira.mongodb.org/browse/CDRIVER-901,human,driver_spec_nonconformance,write-concern,medium,Bug in spec area bson,_mongoc_write_result_complete() does not populate bson_error_t from write concern errors,"With CDRIVER-710, {{mongoc_write_result_t}} now stores an array of {{writeConcernErrors}}. As I was updating PHPC for this API change, I traced how write concern errors are reported, since we need to turn those {{bson_error_t}} output variables into exceptions.

I traced the logic from {{mongoc_bulk_operation_execute()}} through to {{_mongoc_write_result_complete()}} and it appears that the {{bson_error_t}} is only ever set from write errors; however, the function may still return false for either {{!result->failed}} or {{bson_empty0 (&result->writeConcernErrors)}} (which is equivalent to checking for a non-zero {{result.n_writeConcernErrors}} value).

I can't speak for the {{!result->failed}} case, but I believe we want to integrate [mongos' write concern error merging logic|https://github.com/mongodb/mongo/blob/r3.1.8/src/mongo/s/write_ops/batch_write_op.cpp#L754-l776] here, which I would otherwise need to do in PHPC-434 and HHVM-112.",CDRIVER,Bug,libmongoc,,Depends:HHVM-112|Depends:PHPC-434|Related:CDRIVER-710|Related:SPEC-340,avoidable_by_spec_conformance,medium
39,CDRIVER-1891,https://jira.mongodb.org/browse/CDRIVER-1891,human,not_relevant,bson,medium,Component bug in spec area,leaks in test_bson_integer_width,https://evergreen.mongodb.com/task/libbson_releng_debug_compile_valgrind_d530b4b0ebe66e7acd97d48b81dda6c00fa4648e_16_10_28_18_23_07,CDRIVER,Bug,libbson|Testing,,,avoidable_by_spec_conformance,medium
40,PHPC-1359,https://jira.mongodb.org/browse/PHPC-1359,human,not_relevant,transactions,high,Transactions spec requires error for sharded on 4.2.,Ensure 4.0 drivers return an error when attempting sharded transactions on 4.2,See DRIVERS-624 for details.,PHPC,Improvement,,,Depends:DRIVERS-624|Related:PHPC-1393|Related:CDRIVER-3067,driver_spec_nonconformance,high
41,JAVA-5486,https://jira.mongodb.org/browse/JAVA-5486,human,not_relevant,auth|connection-string,high,DRIVERS-2915 disallow comma in authMechanismProperties,Disallow comma character in authMechanismProperties connection string value,"This ticket was split from {{DRIVERS-2915}}, please see that ticket for a detailed description. ",JAVA,Bug,Authentication,,Documented:DOCSP-40348|Issue split:DRIVERS-2915,driver_spec_nonconformance,high
42,RUBY-1409,https://jira.mongodb.org/browse/RUBY-1409,human,not_relevant,,medium,No clear specification or cross-driver conformance signal.,Document jruby support - driver,,RUBY,Improvement,Docs,,Depends:RUBY-1368,not_relevant,medium
43,PHPC-522,https://jira.mongodb.org/browse/PHPC-522,human,not_relevant,bson,medium,Bug in spec-covered bson.,make coveralls fails for PHP 7 builds on Travis CI,"See: https://travis-ci.org/mongodb/mongo-php-driver/jobs/97716867#L2139 (built for [PR #175|https://github.com/mongodb/mongo-php-driver/pull/175#issuecomment-165878968]).

{noformat}
Traceback (most recent call last):
  File ""/usr/local/bin/coveralls"", line 9, in <module>
    load_entry_point('cpp-coveralls==0.3.10', 'console_scripts', 'coveralls')()
  File ""/usr/local/lib/python2.7/dist-packages/cpp_coveralls/__init__.py"", line 96, in run
    cov_report = coverage.collect(args)
  File ""/usr/local/lib/python2.7/dist-packages/cpp_coveralls/coverage.py"", line 378, in collect
    with io.open(source_file_path, mode='rb') as src_file:
IOError: [Errno 2] No such file or directory: '/home/travis/build/mongodb/mongo-php-driver/src/BSON/php_phongo_structs-7.h'
make: *** [coveralls] Error 1
{noformat}",PHPC,Bug,,,,avoidable_by_spec_conformance,medium
44,CSHARP-3061,https://jira.mongodb.org/browse/CSHARP-3061,human,spec_ambiguity_or_gap,,low,References another driver; insufficient detail to classify further.,Clarify how a driver must handle wrong set name in single topology,"    h4. Description of Drivers Ticket:
    The SDAM specification allows specifying replica set name in single topology (https://github.com/mongodb/specifications/blob/master/source/server-discovery-and-monitoring/server-discovery-and-monitoring.rst#initial-setname). If this is done, the set name specified by the application must match the set name reported by the deployment. https://github.com/mongodb/specifications/blob/master/source/server-discovery-and-monitoring/server-discovery-and-monitoring.rst#verifying-setname-with-topologytype-single says:

> A client MAY allow the user to supply a setName with an initial TopologyType of Single. In this case, if the ServerDescription's setName is null or wrong, the client MUST throw an error on every operation.

The Ruby driver satisfies this requirement by checking setName during server selection if the deployment is in single topology. However the prescribed server selection procedure in single topology (https://github.com/mongodb/specifications/blob/master/source/server-selection/server-selection.rst#topology-type-single) does not mention such a check.

In order to improve consistency in how different drivers handle wrong setName when in single topology, either the SDAM or server selection specifications could either recommend or mandate a specific procedure that the drivers must follow when the set name of the deployment does not match the expected set name.
    See DRIVERS-980 for updated details.
    ",CSHARP,Improvement,,,Depends:CSHARP-2962|Depends:DRIVERS-980,cross_driver_inconsistency,low
45,PHPC-1683,https://jira.mongodb.org/browse/PHPC-1683,human,driver_spec_nonconformance,crud|retryable-writes|write-concern,medium,Component bug in crud area,Collect error labels from writeConcernErrors in libmongoc bulk write replies,"DRIVERS-1396 introduced a retryable writes spec test that adds an error label to a write concern error _and_ exposes the error to the test runner (since times:2 overcomes the first retry attempt). This resulted in a PHPLIB test failure because error labels within {{writeConcernErrors}} of libmongoc's bulk write reply are never collected by {{phongo_exception_add_error_labels}}.

libmongoc may be unique among drivers in that it reports all write concern errors in an array (CDRIVER-710) instead of a consolidated {{writeConcernError}} field described in the CRUD spec. This is a separate issue related to DRIVERS-1396.",PHPC,Bug,,,Depends:PHPLIB-585|Related:CDRIVER-710|Related:DRIVERS-1396,avoidable_by_spec_conformance,medium
46,GODRIVER-1905,https://jira.mongodb.org/browse/GODRIVER-1905,human,spec_ambiguity_or_gap,,high,references another driver or cross-driver inconsistency,Provide explicit guidance on handling command errors that occur before the handshake completes during operation execution,"{html}
    <div id=""script-target-wrapper"">
        <br>
        <b>DRIVERS Ticket Description</b>
        <div id=""lang-script-target"">
            <!-- This block of HTML and the script in it auto-populate the DRIVERS ticket description on page load. -->
            Script Target - If you can read this text, the script has failed
            <script>
                $.get('https://jira.mongodb.org/browse/DRIVERS-1476', function(data) {
                    var description = $(data).find(""#description-val"");
                    $(""#lang-script-target"").html(description);
                });
            </script>
        </div>
    </div>
{html}
",GODRIVER,Improvement,,,Depends:GODRIVER-1827|Issue split:DRIVERS-1476|Related:GODRIVER-2165,cross_driver_inconsistency,high
47,RUBY-1002,https://jira.mongodb.org/browse/RUBY-1002,human,not_relevant,,low,Insufficient detail for classification.,slave_ok is no longer logged by the Ruby Driver,"Sometime in the last few weeks, something changed and slave_ok no longer gets logged when doing secondary reads. I haven't had time to figure out which commit caused it, but somewhere between 739ca3905ef107c5731edd3d9b93ea3a87e4ab31 and HEAD.

{code}
MyModel.with(:read => {:mode => :secondary_preferred}).count
D, [2015-08-17T18:31:02.695249 #72908] DEBUG -- : MONGODB | localhost:27017 | appboy_development.count | STARTED | {""count""=>""my_models"", ""query""=>{}}
{code}",RUBY,Bug,,,,driver_spec_nonconformance,low
48,GODRIVER-2243,https://jira.mongodb.org/browse/GODRIVER-2243,human,driver_spec_nonconformance,,high,references another driver or cross-driver inconsistency,IndexView.CreateMany should wrap driver.ErrUnacknowledgedWrite,"If I create an index like so:
{code:java}
iv := db.Collection(""foo"", options.Collection().SetWriteConcern(writeconcern.New(writeconcern.W(0)))).Indexes()
_, err := iv.CreateOne(context.TODO(), mongo.IndexModel{Keys: bson.D{{Key: ""user_id"", Value: 1}}})
{code}
I get back the error go.mongodb.org/mongo-driver/x/mongo/driver.ErrUnacknowledgedWrite. This should presumably be mongo.ErrUnacknowledgedWrite! Other operations that return this call processWriteErr() to transform it, but it's missing from IndexView.CreateMany().",GODRIVER,Bug,,,,cross_driver_inconsistency,high
49,RUBY-2326,https://jira.mongodb.org/browse/RUBY-2326,human,not_relevant,cursors,high,Cursor reaper should track cursor ids per spec requirement,Redo cursor reaper to track cursor ids,"Currently cursor reaper stores killCursors operation specifications which are composed when cursors are created based on the server's support of find command at that time. Instead the reaper should track cursor ids and compose the operations when cursors are actually being killed based on the properties of the connection obtained for the kill operation.

This work is also a prerequisite for repairing the intermittent failures in the cursor reaping integration test.",RUBY,Improvement,,no-changelog,Related:RUBY-2110|Related:RUBY-2220,avoidable_by_spec_conformance,high
50,GODRIVER-536,https://jira.mongodb.org/browse/GODRIVER-536,human,not_relevant,,low,Insufficient detail or tangential to specs.,Upgrade to Go 1.11,"Update Evergreen to run on Go 1.11 and update documentation. We additionally need to determine what should be tested in the Evergreen for each version, since we'll need to support at least Go 1.10 and Go 1.11.",GODRIVER,Improvement,,,,not_relevant,low
51,JAVA-5507,https://jira.mongodb.org/browse/JAVA-5507,human,not_relevant,auth|auth-scram,medium,Involves connection-string,SCRAM-SHA-256 looks to be not FIPS compliant,"h4. Summary

The [https://www.mongodb.com/docs/manual/core/security-scram/#std-label-authentication-scram] page states that SCRAM-SHA-256 can be used in the FIPS mode.

At the same time looking into mongo-java-driver: [https://github.com/mongodb/mongo-java-driver/blob/98934ddc52efa48e7e3b41339e57ff4c8dc89322/driver-core/src/main/com/mongodb/internal/connection/ScramShaAuthenticator.java#L258|https://github.com/mongodb/mongo-java-driver/blob/98934ddc52efa48e7e3b41339e57ff4c8dc89322/driver-core/src/main/com/mongodb/internal/connection/ScramShaAuthenticator.java#L249]

it looks that:
{code:java}
private byte[] hi(final byte[] password, final byte[] salt, final int iterations) throws SaslException
{code}
is kind of key derivation function implementation. While SHA-256 is OK, still the problem is that imho any crypto/key derivation should be done via FIPS validated/certified crypto module, so for example PBKDF2 with Bouncy Castle FIPS via JCA.

So, any crypto implemented outside of the certified module makes the code not FIPS compliant and SCRAM-SHA-256 should not be available in the FIPS mode, at least with that driver in the current form.
h4. Additional Background

[https://csrc.nist.gov/pubs/sp/800/132/final|https://csrc.nist.gov/pubs/sp/800/132/final_]",JAVA,Improvement,Authentication,,Documented:DOCSP-41474|Duplicate:JAVA-5534|Related:DRIVERS-2931,cross_driver_inconsistency,medium
